Csse Covid-19 countries;Country or area;Population(1 July 2019)
Afghanistan;Afghanistan;38041754
Albania;Albania;2880917
Algeria;Algeria;43053054
;American Samoa;55312
Andorra;Andorra;77142
Angola;Angola;31825295
;Anguilla;14869
Antigua and Barbuda;Antigua and Barbuda;97118
Argentina;Argentina;44780677
Armenia;Armenia;2957731
;Aruba;106314
Australia;Australia;25203198
Austria;Austria;8955102
Azerbaijan;Azerbaijan;10047718
Bahamas, The;Bahamas;389482
Bahrain;Bahrain;1641172
Bangladesh;Bangladesh;163046161
Barbados;Barbados;287025
Belarus;Belarus;9452411
Benin;Belgium;11539328
Belize;Belize;390353
Benin;Benin;11801151
;Bermuda;62506
Bhutan;Bhutan;763092
Bolivia;Bolivia;11513100
Bosnia and Herzegovina;Bosnia and Herzegovina;3301000
;Botswana;2303697
Brazil;Brazil;211049527
;British Virgin Islands;30030
Brunei;Brunei;433285
Bulgaria;Bulgaria;7000119
Burkina Faso;Burkina Faso;20321378
;Burundi;10864245
Cabo Verde;;
Cambodia;Cambodia;16486542
Cameroon;Cameroon;25876380
Canada;Canada;37411047
Cape Verde;Cape Verde;549935
;Caribbean Netherlands;25979
;Cayman Islands;64948
Central African Republic;Central African Republic;4745185
Chad;Chad;15946876
Chile;Chile;18952038
China;China;1433783686
Colombia;Colombia;50339443
;Comoros;850886
;Congo;5380508
;DR Congo;86790567
Congo (Brazzaville);;
Congo (Kinshasa);;
;Cook Islands;17548
Costa Rica;Costa Rica;5047561
Cote d'Ivoire;Ivory Coast;25716544
Croatia;Croatia;4130304
Cruise Ship;;
Cuba;Cuba;11333483
;Curaçao;163424
Cyprus;Cyprus;1179551
Czechia;Czech Republic;10689209
Denmark;Denmark;5771876
Djibouti;Djibouti;973560
Dominica;Dominica;71808
Dominican Republic;Dominican Republic;10738958
East Timor;East Timor;1293119
Ecuador;Ecuador;17373662
Egypt;Egypt;100388073
El Salvador;El Salvador;6453553
Equatorial Guinea;Equatorial Guinea;1355986
Eritrea;Eritrea;3497117
Estonia;Estonia;1325648
Eswatini;Eswatini;1148130
Ethiopia;Ethiopia;112078730
;F.S. Micronesia;113815
;Falkland Islands;3377
;Faroe Islands;48678
Fiji;Fiji;889953
Finland;Finland;5532156
France;France;65129728
;French Guiana;282731
;French Polynesia;279287
Gabon;Gabon;2172579
Gambia, The;Gambia;2347706
Georgia;Georgia;3996765
Germany;Germany;83517045
Ghana;Ghana;28833629
;Gibraltar;33701
Greece;Greece;10473455
;Greenland;56672
Grenada;Grenada;112003
;Guadeloupe;447905
;Guam;167294
Guatemala;Guatemala;17581472
;Guernsey and Jersey;172259
;Guinea;12771246
Guinea;Guinea-Bissau;1920922
Guyana;Guyana;782766
Haiti;Haiti;11263770
Holy See;;
Honduras;Honduras;9746117
;Hong Kong;7436154
Hungary;Hungary;9684679
Iceland;Iceland;339031
India;India;1366417754
Indonesia;Indonesia;270625568
Iran;Iran;82913906
Iraq;Iraq;39309783
Ireland;Ireland;4882495
;Isle of Man;84584
Israel;Israel;8519377
Italy;Italy;60550075
Jamaica;Jamaica;2948279
Japan;Japan;126860301
Jordan;Jordan;10101694
Kazakhstan;Kazakhstan;18551427
Kenya;Kenya;52573973
Korea, South;South Korea;51225308
;North Korea;25666161
Kosovo;;
;Kiribati;117606
Kuwait;Kuwait;4207083
Kyrgyzstan;Kyrgyzstan;6415850
;Laos;7169455
Latvia;Latvia;1906743
Lebanon;Lebanon;6855713
;Lesotho;2125268
Liberia;Liberia;4937374
;Libya;6777452
Liechtenstein;Liechtenstein;38019
Lithuania;Lithuania;2759627
Luxembourg;Luxembourg;615729
;Macau;640445
Madagascar;Madagascar;26969307
;Malawi;18628747
