,Csse Covid-19 countries
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,"Bahamas, The"
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Benin
18,Bhutan
19,Bolivia
20,Bosnia and Herzegovina
21,Brazil
22,Brunei
23,Bulgaria
24,Burkina Faso
25,Cabo Verde
26,Cambodia
27,Cameroon
28,Canada
29,Cape Verde
30,Central African Republic
31,Chad
32,Chile
33,China
34,Colombia
35,Congo (Brazzaville)
36,Congo (Kinshasa)
37,Costa Rica
38,Cote d'Ivoire
39,Croatia
40,Cruise Ship
41,Cuba
42,Cyprus
43,Czechia
44,Denmark
45,Djibouti
46,Dominica
47,Dominican Republic
48,East Timor
49,Ecuador
50,Egypt
51,El Salvador
52,Equatorial Guinea
53,Eritrea
54,Estonia
55,Eswatini
56,Ethiopia
57,Fiji
58,Finland
59,France
60,Gabon
61,"Gambia, The"
62,Georgia
63,Germany
64,Ghana
65,Greece
66,Grenada
67,Guatemala
68,Guinea
69,Guyana
70,Haiti
71,Holy See
72,Honduras
73,Hungary
74,Iceland
75,India
76,Indonesia
77,Iran
78,Iraq
79,Ireland
80,Israel
81,Italy
82,Jamaica
83,Japan
84,Jordan
85,Kazakhstan
86,Kenya
87,"Korea, South"
88,Kosovo
89,Kuwait
90,Kyrgyzstan
91,Latvia
92,Lebanon
93,Liberia
94,Liechtenstein
95,Lithuania
96,Luxembourg
97,Madagascar
98,Malaysia
99,Maldives
100,Malta
101,Martinique
102,Mauritania
103,Mauritius
104,Mexico
105,Moldova
106,Monaco
107,Mongolia
108,Montenegro
109,Morocco
110,Mozambique
111,Namibia
112,Nepal
113,Netherlands
114,New Zealand
115,Nicaragua
116,Niger
117,Nigeria
118,North Macedonia
119,Norway
120,Oman
121,Pakistan
122,Panama
123,Papua New Guinea
124,Paraguay
125,Peru
126,Philippines
127,Poland
128,Portugal
129,Qatar
130,Romania
131,Russia
132,Rwanda
133,Saint Lucia
134,Saint Vincent and the Grenadines
135,San Marino
136,Saudi Arabia
137,Senegal
138,Serbia
139,Seychelles
140,Singapore
141,Slovakia
142,Slovenia
143,Somalia
144,South Africa
145,Spain
146,Sri Lanka
147,Sudan
148,Suriname
149,Sweden
150,Switzerland
151,Syria
152,Taiwan*
153,Tanzania
154,Thailand
155,Timor-Leste
156,Togo
157,Trinidad and Tobago
158,Tunisia
159,Turkey
160,US
161,Uganda
162,Ukraine
163,United Arab Emirates
164,United Kingdom
165,Uruguay
166,Uzbekistan
167,Venezuela
168,Vietnam
169,Zambia
170,Zimbabwe
