,csse_covid19_countries,population_countries
0,Afghanistan,Afghanistan
1,Albania,Albania
2,Algeria,Algeria
3,,American Samoa
4,Andorra,Andorra
5,,Angola
6,,Anguilla
7,Antigua and Barbuda,Antigua and Barbuda
8,Argentina,Argentina
9,Armenia,Armenia
10,Aruba,Aruba
11,Australia,Australia
12,Austria,Austria
13,Azerbaijan,Azerbaijan
14,Bahrain,Bahamas
15,,Bahrain
16,Bangladesh,Bangladesh
17,,Barbados
18,Belarus,Belarus
19,Belgium,Belgium
20,,Belize
21,,Benin
22,,Bermuda
23,Bhutan,Bhutan
24,Bolivia,Bolivia
25,Bosnia and Herzegovina,Bosnia and Herzegovina
26,,Botswana
27,Brazil,Brazil
28,,British Virgin Islands
29,Brunei,Brunei
30,Bulgaria,Bulgaria
31,Burkina Faso,Burkina Faso
32,,Burundi
33,Cambodia,Cambodia
34,Cameroon,Cameroon
35,Canada,Canada
36,,Cape Verde
37,,Caribbean Netherlands
38,Cayman Islands,Cayman Islands
39,,Central African Republic
40,,Chad
41,Chile,Chile
42,China,China
43,Colombia,Colombia
44,,Comoros
45,Congo (Kinshasa),Congo
46,,Cook Islands
47,Costa Rica,Costa Rica
48,Cote d'Ivoire,
49,Croatia,Croatia
50,Cruise Ship,
51,Cuba,Cuba
52,Curacao,Curaçao
53,Cyprus,Cyprus
54,Czechia,Czech Republic
55,,DR Congo
56,Denmark,Denmark
57,,Djibouti
58,,Dominica
59,Dominican Republic,Dominican Republic
60,,East Timor
61,Ecuador,Ecuador
62,Egypt,Egypt
63,,El Salvador
64,,Equatorial Guinea
65,,Eritrea
66,Estonia,Estonia
67,Eswatini,Eswatini
68,Ethiopia,Ethiopia
69,,F.S. Micronesia
70,,Falkland Islands
71,,Faroe Islands
72,,Fiji
73,Finland,Finland
74,France,France
75,French Guiana,French Guiana
76,,French Polynesia
77,Gabon,Gabon
78,,Gambia
79,Georgia,Georgia
80,Germany,Germany
81,Ghana,Ghana
82,,Gibraltar
83,Greece,Greece
84,,Greenland
85,,Grenada
86,Guadeloupe,Guadeloupe
87,,Guam
88,Guatemala,Guatemala
89,Guernsey,Guernsey and Jersey
90,Guinea,Guinea
91,,Guinea-Bissau
92,Guyana,Guyana
93,,Haiti
94,Holy See,
95,Honduras,Honduras
96,,Hong Kong
97,Hungary,Hungary
98,Iceland,Iceland
99,India,India
100,Indonesia,Indonesia
101,Iran,Iran
102,Iraq,Iraq
103,Ireland,Ireland
104,,Isle of Man
105,Israel,Israel
106,Italy,Italy
107,,Ivory Coast
108,Jamaica,Jamaica
109,Japan,Japan
110,Jersey,
111,Jordan,Jordan
112,Kazakhstan,Kazakhstan
113,Kenya,Kenya
114,,Kiribati
115,Kuwait,Kuwait
116,,Kyrgyzstan
117,,Laos
118,Latvia,Latvia
119,Lebanon,Lebanon
120,,Lesotho
121,,Liberia
122,,Libya
123,Liechtenstein,Liechtenstein
124,Lithuania,Lithuania
125,Luxembourg,Luxembourg
126,,Macau
127,,Madagascar
128,,Malawi
129,Malaysia,Malaysia
130,Maldives,Maldives
131,,Mali
132,Malta,Malta
133,,Marshall Islands
134,Martinique,Martinique
135,Mauritania,Mauritania
136,,Mauritius
137,,Mayotte
138,Mexico,Mexico
139,Moldova,Moldova
140,Monaco,Monaco
141,Mongolia,Mongolia
142,,Montenegro
143,,Montserrat
144,Morocco,Morocco
145,,Mozambique
146,,Myanmar
147,Namibia,Namibia
148,,Nauru
149,Nepal,Nepal
150,Netherlands,Netherlands
151,,New Caledonia
152,New Zealand,New Zealand
153,,Nicaragua
154,,Niger
155,Nigeria,Nigeria
156,,Niue
157,,North Korea
158,North Macedonia,North Macedonia
159,,Northern Mariana Islands
160,Norway,Norway
161,Oman,Oman
162,Pakistan,Pakistan
163,,Palau
164,occupied Palestinian territory,Palestine
165,Panama,Panama
166,,Papua New Guinea
167,Paraguay,Paraguay
168,Peru,Peru
169,Philippines,Philippines
170,Poland,Poland
171,Portugal,Portugal
172,,Puerto Rico
173,Qatar,Qatar
174,Reunion,
175,Romania,Romania
176,Russia,Russia
177,Rwanda,Rwanda
178,,Réunion
179,,"Saint Helena, Ascension and Tristan da Cunha"
180,,Saint Kitts and Nevis
181,Saint Lucia,Saint Lucia
182,,Saint Pierre and Miquelon
183,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
184,,Samoa
185,San Marino,San Marino
186,Saudi Arabia,Saudi Arabia
187,Senegal,Senegal
188,Serbia,Serbia
189,Seychelles,Seychelles
190,,Sierra Leone
191,Singapore,Singapore
192,,Sint Maarten
193,Slovakia,Slovakia
194,Slovenia,Slovenia
195,,Solomon Islands
196,,Somalia
197,South Africa,South Africa
198,"Korea, South",South Korea
199,,South Sudan
200,Spain,Spain
201,Sri Lanka,Sri Lanka
202,Sudan,Sudan
203,Suriname,Suriname
204,Sweden,Sweden
205,Switzerland,Switzerland
206,,Syria
207,,São Tomé and Príncipe
208,Taiwan*,Taiwan
209,,Tajikistan
210,,Tanzania
211,Thailand,Thailand
212,Togo,Togo
213,,Tokelau
214,,Tonga
215,Trinidad and Tobago,Trinidad and Tobago
216,Tunisia,Tunisia
217,Turkey,Turkey
218,,Turkmenistan
219,,Turks and Caicos Islands
220,,Tuvalu
221,,U.S. Virgin Islands
222,,Uganda
223,Ukraine,Ukraine
224,United Arab Emirates,United Arab Emirates
225,United Kingdom,United Kingdom
226,US,United States
227,Uruguay,Uruguay
228,,Uzbekistan
229,,Vanuatu
230,,Vatican City
231,Venezuela,Venezuela
232,Vietnam,Vietnam
233,,Wallis and Futuna
234,,Western Sahara
235,,World
236,,Yemen
237,,Zambia
238,,Zimbabwe
