,Csse Covid-19 countries
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia
21,Bosnia and Herzegovina
22,Brazil
23,Brunei
24,Bulgaria
25,Burkina Faso
26,Cabo Verde
27,Cambodia
28,Cameroon
29,Canada
30,Central African Republic
31,Chad
32,Chile
33,China
34,Colombia
35,Congo (Brazzaville)
36,Congo (Kinshasa)
37,Costa Rica
38,Cote d'Ivoire
39,Croatia
40,Cruise Ship
41,Cuba
42,Cyprus
43,Czechia
44,Denmark
45,Djibouti
46,Dominica
47,Dominican Republic
48,Ecuador
49,Egypt
50,El Salvador
51,Equatorial Guinea
52,Eritrea
53,Estonia
54,Eswatini
55,Ethiopia
56,Fiji
57,Finland
58,France
59,Gabon
60,Gambia
61,Georgia
62,Germany
63,Ghana
64,Greece
65,Grenada
66,Guatemala
67,Guinea
68,Guyana
69,Haiti
70,Holy See
71,Honduras
72,Hungary
73,Iceland
74,India
75,Indonesia
76,Iran
77,Iraq
78,Ireland
79,Israel
80,Italy
81,Jamaica
82,Japan
83,Jordan
84,Kazakhstan
85,Kenya
86,"Korea, South"
87,Kuwait
88,Kyrgyzstan
89,Latvia
90,Lebanon
91,Liberia
92,Liechtenstein
93,Lithuania
94,Luxembourg
95,Madagascar
96,Malaysia
97,Maldives
98,Malta
99,Mauritania
100,Mauritius
101,Mexico
102,Moldova
103,Monaco
104,Mongolia
105,Montenegro
106,Morocco
107,Mozambique
108,Namibia
109,Nepal
110,Netherlands
111,New Zealand
112,Nicaragua
113,Niger
114,Nigeria
115,North Macedonia
116,Norway
117,Oman
118,Pakistan
119,Panama
120,Papua New Guinea
121,Paraguay
122,Peru
123,Philippines
124,Poland
125,Portugal
126,Qatar
127,Romania
128,Russia
129,Rwanda
130,Saint Lucia
131,Saint Vincent and the Grenadines
132,San Marino
133,Saudi Arabia
134,Senegal
135,Serbia
136,Seychelles
137,Singapore
138,Slovakia
139,Slovenia
140,Somalia
141,South Africa
142,Spain
143,Sri Lanka
144,Sudan
145,Suriname
146,Sweden
147,Switzerland
148,Syria
149,Taiwan*
150,Tanzania
151,Thailand
152,Timor-Leste
153,Togo
154,Trinidad and Tobago
155,Tunisia
156,Turkey
157,US
158,Uganda
159,Ukraine
160,United Arab Emirates
161,United Kingdom
162,Uruguay
163,Uzbekistan
164,Venezuela
165,Vietnam
166,Zambia
167,Zimbabwe
